"","State","2014","2015","2016","2017","2018","2019"
"1","Johor",2.6,3.1,3.6,3.4,3,2.7
"2","Kedah",2.7,2.6,2.9,2.8,2.9,2.8
"3","Kelantan",3.3,3.6,3.8,3.6,4,4
"4","Malaysia",2.9,3.1,3.4,3.4,3.3,3.3
"5","Melaka",0.9,1,0.9,1,1.1,1.1
"6","Negeri Sembilan",3,3.1,2.7,2.8,3,3.1
"7","Pahang",2.7,2.9,2.6,2.9,2.6,2.9
"8","Perak",3.4,3.2,3.4,3.7,3.3,3.4
"9","Perlis",3.3,2.9,2.9,3.5,3.4,3.3
"10","Pulau Pinang",1.6,1.6,2.1,2.1,2.2,2
"11","Sabah",4.9,5,5.4,5.6,5.8,5.8
"12","Sarawak",3.1,3.5,3.3,3,3.2,3.1
"13","Selangor",2,2.4,3.2,2.8,2.8,2.9
"14","Terengganu",4.1,4,4.2,4.5,4.8,3.5
"15","W.P Labuan",5.1,5,7.8,8.5,7.1,6.9
"16","W.P Putrajaya",1.2,1,1.7,1.5,1.3,1.2
"17","W.P. Kuala Lumpur",2.9,3.3,3.3,3.1,2.4,2.6
